Region,Region_pcode,Province,Province_pcode,City,Mun_Pcode,July2020,July2021,July2022,July2023,July2024,July2025
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,adams,PH012801000,1823,1827,1830,1833,1834,1835
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,bacarra,PH012802000,32778,32850,32908,32951,32979,32994
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,badoc,PH012803000,32218,32299,32365,32418,32456,32480
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,bangui,PH012804000,14954,14993,15024,15049,15067,15079
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,city of batac,PH012805000,56248,56389,56504,56595,56661,56702
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,burgos,PH012806000,9948,9970,9987,10000,10009,10013
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,carasi,PH012807000,1644,1658,1672,1684,1696,1708
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,currimao,PH012808000,12419,12451,12477,12498,12513,12523
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,dingras,PH012809000,39673,39850,40009,40152,40277,40386
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,dumalneg,PH012810000,3267,3332,3397,3461,3525,3589
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,banna (espiritu),PH012811000,19814,19865,19907,19941,19965,19981
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,laoag city (capital),PH012812000,116143,117032,117876,118675,119430,120140
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,marcos,PH012813000,18373,18471,18562,18646,18721,18789
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,nueva era,PH012814000,11279,11662,12053,12452,12859,13273
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,pagudpud,PH012815000,25441,25759,26070,26374,26671,26960
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,paoay,PH012816000,25499,25595,25681,25755,25818,25871
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,pasuquin,PH012817000,29685,29791,29884,29963,30031,30085
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,piddig,PH012818000,22149,22254,22349,22435,22512,22580
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,pinili,PH012819000,17676,17729,17775,17814,17844,17867
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,san nicolas,PH012820000,38859,39252,39632,39998,40351,40691
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,sarrat,PH012821000,25669,25729,25777,25814,25840,25854
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,solsona,PH012822000,24985,25131,25266,25391,25505,25610
Region I (Ilocos Region),PH010000000,Ilocos Norte,PH012800000,vintar,PH012823000,32877,32969,33046,33108,33156,33190
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,alilem,PH012901000,6825,6843,6856,6867,6875,6879
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,banayoyo,PH012902000,7899,7919,7935,7947,7956,7961
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,bantay,PH012903000,36669,36810,36935,37043,37134,37208
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,burgos,PH012904000,12609,12670,12726,12776,12821,12860
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,cabugao,PH012905000,38806,39021,39218,39399,39562,39709
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,city of candon,PH012906000,62567,62880,63164,63421,63651,63852
Region I (Ilocos Region),PH010000000,Ilocos Sur,PH012900000,caoayan,PH012907000,20924,21117,21301,21477,21646,21806
