year_week,min_magnitude,max_magnitude,total_events
2019-12-30/2020-01-05,1.6,4.3,146
2020-01-06/2020-01-12,1.2,5.4,326
2020-01-13/2020-01-19,1.2,4.6,1134
2020-01-20/2020-01-26,1.5,4.6,371
2020-01-27/2020-02-02,1.4,4.9,245
2020-02-03/2020-02-09,1.3,4.3,302
2020-02-10/2020-02-16,1.3,4.8,306
2020-02-17/2020-02-23,1.4,4.9,217
2020-02-24/2020-03-01,1.4,5.5,250
2020-03-02/2020-03-08,1.6,5.4,211
2020-03-09/2020-03-15,1.4,5.0,288
2020-03-16/2020-03-22,1.4,5.4,338
2020-03-23/2020-03-29,1.2,6.1,392
2020-03-30/2020-04-05,1.3,4.6,384
2020-04-06/2020-04-12,1.3,5.1,377
2020-04-13/2020-04-19,1.3,5.1,408
2020-04-20/2020-04-26,1.2,4.6,496
2020-04-27/2020-05-03,1.2,4.9,393
2020-05-04/2020-05-10,1.4,5.4,452
2020-05-11/2020-05-17,1.3,4.8,415
2020-05-18/2020-05-24,1.3,5.1,393
2020-05-25/2020-05-31,1.4,5.6,384
2020-06-01/2020-06-07,1.3,6.6,377
2020-06-08/2020-06-14,1.4,4.9,429
2020-06-15/2020-06-21,1.6,4.9,348
2020-06-22/2020-06-28,1.4,5.4,359
2020-06-29/2020-07-05,1.6,4.4,333
2020-07-06/2020-07-12,1.5,4.8,296
2020-07-13/2020-07-19,1.5,4.7,352
2020-07-20/2020-07-26,1.5,5.6,280
2020-07-27/2020-08-02,1.6,6.4,347
2020-08-03/2020-08-09,1.5,4.8,361
2020-08-10/2020-08-16,1.5,5.4,364
2020-08-17/2020-08-23,1.6,6.6,526
2020-08-24/2020-08-30,1.5,4.9,363
2020-08-31/2020-09-06,1.5,6.4,295
2020-09-07/2020-09-13,1.5,5.9,362
2020-09-14/2020-09-20,1.6,5.0,300
2020-09-21/2020-09-27,1.5,5.7,400
2020-09-28/2020-10-04,1.6,5.3,423
2020-10-05/2020-10-11,1.6,5.6,485
2020-10-12/2020-10-18,1.6,5.4,383
2020-10-19/2020-10-25,1.4,4.8,252
2020-10-26/2020-11-01,1.7,5.0,263
2020-11-02/2020-11-08,1.5,5.1,319
2020-11-09/2020-11-15,1.5,5.3,314
2020-11-16/2020-11-22,1.6,6.0,324
2020-11-23/2020-11-29,1.6,4.2,253
2020-11-30/2020-12-06,1.7,4.8,225
2020-12-07/2020-12-13,1.0,5.4,288
2020-12-14/2020-12-20,1.6,6.2,281
2020-12-21/2020-12-27,1.5,6.3,406
2020-12-28/2021-01-03,1.5,5.5,316
2021-01-04/2021-01-10,1.8,4.4,191
2021-01-11/2021-01-17,1.5,5.1,253
2021-01-18/2021-01-24,1.6,5.2,300
2021-01-25/2021-01-31,1.5,4.9,178
2021-02-01/2021-02-07,1.6,6.1,321
2021-02-08/2021-02-14,1.5,5.7,408
2021-02-15/2021-02-21,1.4,4.8,326
2021-02-22/2021-02-28,1.4,5.2,356
2021-03-01/2021-03-07,1.5,4.8,225
2021-03-08/2021-03-14,1.5,5.1,274
2021-03-15/2021-03-21,1.1,4.8,371
2021-03-22/2021-03-28,1.5,4.4,234
2021-03-29/2021-04-04,1.4,5.2,360
2021-04-05/2021-04-11,1.6,6.1,228
2021-04-12/2021-04-18,1.5,5.4,376
2021-04-19/2021-04-25,1.5,4.9,236
2021-04-26/2021-05-02,1.5,4.9,327
2021-05-03/2021-05-09,1.5,5.1,228
2021-05-10/2021-05-16,1.4,5.8,242
2021-05-17/2021-05-23,1.5,5.2,284
2021-05-24/2021-05-30,1.4,4.7,283
2021-05-31/2021-06-06,1.5,5.1,966
2021-06-07/2021-06-13,1.5,5.3,1331
2021-06-14/2021-06-20,1.5,5.7,829
2021-06-21/2021-06-27,1.6,5.1,341
2021-06-28/2021-07-04,1.6,5.0,378
2021-07-05/2021-07-11,1.5,6.2,360
2021-07-12/2021-07-18,1.5,5.4,364
2021-07-19/2021-07-25,1.5,6.6,280
2021-07-26/2021-08-01,1.6,4.9,353
2021-08-02/2021-08-08,1.5,4.7,297
2021-08-09/2021-08-15,1.5,7.1,634
2021-08-16/2021-08-22,1.5,4.4,463
2021-08-23/2021-08-29,1.5,5.7,214
2021-08-30/2021-09-05,1.5,5.0,276
2021-09-06/2021-09-12,1.5,4.6,260
2021-09-13/2021-09-19,1.5,4.7,260
2021-09-20/2021-09-26,1.6,4.9,331
2021-09-27/2021-10-03,1.5,5.7,430
2021-10-04/2021-10-10,1.4,5.2,308
2021-10-11/2021-10-17,1.5,4.6,290
2021-10-18/2021-10-24,1.5,4.9,350
2021-10-25/2021-10-31,1.5,5.0,233
2021-11-01/2021-11-07,1.5,4.5,357
2021-11-08/2021-11-14,1.5,4.8,243
2021-11-15/2021-11-21,1.5,5.4,410
2021-11-22/2021-11-28,1.4,4.7,413
2021-11-29/2021-12-05,1.5,5.2,226
2021-12-06/2021-12-12,1.5,4.9,344
2021-12-13/2021-12-19,1.5,5.5,273
2021-12-20/2021-12-26,1.4,5.1,267
2021-12-27/2022-01-02,1.4,4.2,215
2022-01-03/2022-01-09,1.5,4.5,207
2022-01-10/2022-01-16,1.6,4.2,237
2022-01-17/2022-01-23,1.5,5.4,230
2022-01-24/2022-01-30,1.6,4.7,232
2022-01-31/2022-02-06,1.5,4.4,185
2022-02-07/2022-02-13,1.6,5.1,224
2022-02-14/2022-02-20,1.4,4.6,215
2022-02-21/2022-02-27,1.5,5.3,163
2022-02-28/2022-03-06,1.5,4.1,247
